0/45500 (epoch 0), train_loss = 11.257, time/batch = 6.570
model saved to save/model.ckpt
50/45500 (epoch 0), train_loss = 8.273, time/batch = 6.238
100/45500 (epoch 0), train_loss = 8.176, time/batch = 6.236
150/45500 (epoch 0), train_loss = 8.298, time/batch = 6.225
200/45500 (epoch 0), train_loss = 8.363, time/batch = 6.188
250/45500 (epoch 0), train_loss = 8.139, time/batch = 6.226
300/45500 (epoch 0), train_loss = 7.942, time/batch = 6.402
350/45500 (epoch 0), train_loss = 8.306, time/batch = 6.499
400/45500 (epoch 0), train_loss = 8.125, time/batch = 6.366
450/45500 (epoch 0), train_loss = 8.210, time/batch = 6.308
500/45500 (epoch 0), train_loss = 8.319, time/batch = 6.400
550/45500 (epoch 0), train_loss = 8.029, time/batch = 6.425
600/45500 (epoch 0), train_loss = 8.561, time/batch = 6.415
650/45500 (epoch 0), train_loss = 8.275, time/batch = 6.393
700/45500 (epoch 0), train_loss = 8.072, time/batch = 6.642
750/45500 (epoch 0), train_loss = 8.517, time/batch = 6.445
800/45500 (epoch 0), train_loss = 8.165, time/batch = 6.518
850/45500 (epoch 0), train_loss = 8.124, time/batch = 6.494
900/45500 (epoch 0), train_loss = 7.670, time/batch = 6.823
950/45500 (epoch 1), train_loss = 8.097, time/batch = 6.824
1000/45500 (epoch 1), train_loss = 8.040, time/batch = 6.829
model saved to save/model.ckpt
1050/45500 (epoch 1), train_loss = 8.021, time/batch = 6.882
1100/45500 (epoch 1), train_loss = 8.236, time/batch = 6.859
1150/45500 (epoch 1), train_loss = 8.065, time/batch = 6.904
1200/45500 (epoch 1), train_loss = 7.797, time/batch = 6.962
1250/45500 (epoch 1), train_loss = 8.139, time/batch = 7.020
1300/45500 (epoch 1), train_loss = 8.012, time/batch = 6.908
1350/45500 (epoch 1), train_loss = 8.091, time/batch = 7.013
1400/45500 (epoch 1), train_loss = 8.239, time/batch = 6.992
1450/45500 (epoch 1), train_loss = 7.901, time/batch = 6.992
1500/45500 (epoch 1), train_loss = 7.684, time/batch = 7.034
1550/45500 (epoch 1), train_loss = 7.934, time/batch = 7.095
1600/45500 (epoch 1), train_loss = 7.669, time/batch = 6.936
1650/45500 (epoch 1), train_loss = 7.601, time/batch = 6.673
1700/45500 (epoch 1), train_loss = 7.491, time/batch = 6.233
1750/45500 (epoch 1), train_loss = 7.912, time/batch = 6.244
1800/45500 (epoch 1), train_loss = 7.653, time/batch = 6.194
1850/45500 (epoch 2), train_loss = 7.669, time/batch = 6.245
1900/45500 (epoch 2), train_loss = 7.942, time/batch = 6.516
1950/45500 (epoch 2), train_loss = 7.700, time/batch = 6.513
2000/45500 (epoch 2), train_loss = 7.880, time/batch = 6.476
model saved to save/model.ckpt
2050/45500 (epoch 2), train_loss = 7.254, time/batch = 6.547
2100/45500 (epoch 2), train_loss = 7.389, time/batch = 6.472
2150/45500 (epoch 2), train_loss = 7.514, time/batch = 6.467
2200/45500 (epoch 2), train_loss = 7.307, time/batch = 6.441
2250/45500 (epoch 2), train_loss = 7.407, time/batch = 6.484
2300/45500 (epoch 2), train_loss = 7.527, time/batch = 6.173
2350/45500 (epoch 2), train_loss = 7.207, time/batch = 6.200
2400/45500 (epoch 2), train_loss = 7.236, time/batch = 6.196
2450/45500 (epoch 2), train_loss = 7.142, time/batch = 6.203
2500/45500 (epoch 2), train_loss = 7.196, time/batch = 6.222
2550/45500 (epoch 2), train_loss = 7.272, time/batch = 6.233
2600/45500 (epoch 2), train_loss = 7.023, time/batch = 6.310
2650/45500 (epoch 2), train_loss = 6.672, time/batch = 6.768
2700/45500 (epoch 2), train_loss = 6.979, time/batch = 6.185
2750/45500 (epoch 3), train_loss = 6.791, time/batch = 6.490
2800/45500 (epoch 3), train_loss = 6.489, time/batch = 6.489
2850/45500 (epoch 3), train_loss = 6.565, time/batch = 6.522
2900/45500 (epoch 3), train_loss = 6.911, time/batch = 6.527
2950/45500 (epoch 3), train_loss = 6.458, time/batch = 6.525
3000/45500 (epoch 3), train_loss = 6.559, time/batch = 6.510
model saved to save/model.ckpt
3050/45500 (epoch 3), train_loss = 6.511, time/batch = 6.462
3100/45500 (epoch 3), train_loss = 6.600, time/batch = 6.485
3150/45500 (epoch 3), train_loss = 6.797, time/batch = 6.504
3200/45500 (epoch 3), train_loss = 6.400, time/batch = 6.490
3250/45500 (epoch 3), train_loss = 6.314, time/batch = 6.488
3300/45500 (epoch 3), train_loss = 6.428, time/batch = 6.497
3350/45500 (epoch 3), train_loss = 6.551, time/batch = 6.507
3400/45500 (epoch 3), train_loss = 6.548, time/batch = 6.490
3450/45500 (epoch 3), train_loss = 6.409, time/batch = 6.506
3500/45500 (epoch 3), train_loss = 6.342, time/batch = 6.512
3550/45500 (epoch 3), train_loss = 6.533, time/batch = 6.540
3600/45500 (epoch 3), train_loss = 6.438, time/batch = 6.463
3650/45500 (epoch 4), train_loss = 6.366, time/batch = 6.500
3700/45500 (epoch 4), train_loss = 5.850, time/batch = 6.511
3750/45500 (epoch 4), train_loss = 5.929, time/batch = 6.431
3800/45500 (epoch 4), train_loss = 6.058, time/batch = 6.424
3850/45500 (epoch 4), train_loss = 6.127, time/batch = 6.504
3900/45500 (epoch 4), train_loss = 6.059, time/batch = 6.497
3950/45500 (epoch 4), train_loss = 6.043, time/batch = 6.486
4000/45500 (epoch 4), train_loss = 6.145, time/batch = 6.478
model saved to save/model.ckpt
4050/45500 (epoch 4), train_loss = 6.196, time/batch = 6.441
4100/45500 (epoch 4), train_loss = 5.968, time/batch = 6.445
4150/45500 (epoch 4), train_loss = 6.176, time/batch = 6.472
4200/45500 (epoch 4), train_loss = 6.032, time/batch = 6.491
4250/45500 (epoch 4), train_loss = 6.137, time/batch = 6.491
4300/45500 (epoch 4), train_loss = 6.078, time/batch = 6.480
4350/45500 (epoch 4), train_loss = 5.823, time/batch = 6.479
4400/45500 (epoch 4), train_loss = 5.952, time/batch = 6.483
4450/45500 (epoch 4), train_loss = 5.921, time/batch = 6.483
4500/45500 (epoch 4), train_loss = 5.837, time/batch = 6.444
4550/45500 (epoch 5), train_loss = 5.940, time/batch = 6.436
4600/45500 (epoch 5), train_loss = 5.764, time/batch = 6.463
4650/45500 (epoch 5), train_loss = 5.752, time/batch = 6.521
4700/45500 (epoch 5), train_loss = 5.819, time/batch = 6.488
4750/45500 (epoch 5), train_loss = 6.050, time/batch = 6.493
4800/45500 (epoch 5), train_loss = 5.761, time/batch = 6.485
4850/45500 (epoch 5), train_loss = 5.690, time/batch = 6.500
4900/45500 (epoch 5), train_loss = 5.839, time/batch = 6.448
4950/45500 (epoch 5), train_loss = 5.696, time/batch = 6.456
